ride_id,driver_id,customer_id,car_type,pick_up_location,drop_location,pickup_time,drop_time,total_duration,distance,rate_per_km,fare,ride_status
RID000022,DRV07668,CUS33857,SUV,Juhu,Andheri,2026-02-27 12:12:31,2026-02-27 13:00:31,48,25.85,19,541.15,completed
RID000023,DRV08415,CUS24867,SUV,Bandra,Santacruz,2026-04-10 08:06:13,2026-04-10 09:10:13,64,29.69,19,614.11,completed
RID000024,DRV05803,CUS30629,SUV,Ghatkopar,Bandra,2025-11-14 06:56:14,2025-11-14 07:19:14,23,21.42,19,456.98,completed
RID000025,DRV05980,CUS47682,Sedan,Powai,Santacruz,2025-09-08 12:00:34,2025-09-08 12:26:34,26,12.77,15,241.55,completed
RID000026,DRV07671,CUS13090,Hatchback,Dadar,Bandra,2026-04-30 11:07:56,2026-04-30 12:27:56,80,5.42,11,109.62,completed
RID000027,DRV01871,CUS21627,Sedan,Vile Parle,Mulund,2026-03-04 00:41:35,2026-03-04 01:19:35,38,25.37,15,430.55,completed
RID000028,DRV07127,CUS22327,SUV,Santacruz,Ghatkopar,2025-06-23 21:11:40,2025-06-23 22:39:40,88,11.25,19,263.75,completed
RID000029,DRV05542,CUS05327,Sedan,Powai,Ghatkopar,2026-03-02 12:28:51,2026-03-02 13:49:51,81,10.54,15,208.1,completed
RID000030,DRV05226,CUS42375,SUV,Kurla,Ghatkopar,2025-11-22 02:10:25,2025-11-22 03:15:25,65,26.95,19,562.05,completed
RID000031,DRV00866,CUS26512,Hatchback,Andheri,Santacruz,2026-05-04 20:59:52,2026-05-04 22:04:52,65,24.89,11,323.79,cancelled
RID000032,DRV08566,CUS12647,Sedan,Borivali,Kurla,2026-03-18 16:26:52,2026-03-18 16:58:52,32,26.28,15,444.2,completed
RID000033,DRV01042,CUS32824,Hatchback,Dadar,Vile Parle,2025-08-11 06:00:34,2025-08-11 07:07:34,67,29.55,11,375.05,completed
RID000034,DRV09232,CUS19761,Hatchback,Mulund,Dadar,2025-08-16 15:22:04,2025-08-16 16:49:04,87,21.95,11,291.45,completed
RID000035,DRV08207,CUS25535,Hatchback,Ghatkopar,Kurla,2026-03-08 22:40:31,2026-03-08 23:53:31,73,8.78,11,146.58,completed
RID000036,DRV06047,CUS39956,SUV,Andheri,Powai,2026-05-28 08:56:01,2026-05-28 10:22:01,86,19.0,19,411.0,completed
RID000037,DRV06514,CUS33935,SUV,Powai,Vile Parle,2026-01-25 04:47:32,2026-01-25 05:32:32,45,28.83,19,597.77,completed
RID000038,DRV02069,CUS02300,SUV,Vile Parle,Santacruz,2026-02-28 11:40:18,2026-02-28 12:35:18,55,9.79,19,236.01,completed
RID000039,DRV05942,CUS39828,Sedan,Santacruz,Bandra,2025-09-02 00:07:01,2025-09-02 01:04:01,57,7.63,15,164.45,cancelled
RID000040,DRV00780,CUS07576,Hatchback,Borivali,Andheri,2025-11-03 05:58:26,2025-11-03 07:00:26,62,28.81,11,366.91,completed
RID000041,DRV06538,CUS13697,Hatchback,Ghatkopar,Kurla,2025-11-07 05:58:23,2025-11-07 06:38:23,40,6.79,11,124.69,completed
RID000042,DRV02767,CUS35086,Sedan,Bandra,Dadar,2025-08-11 20:42:55,2025-08-11 21:44:55,62,26.88,15,453.2,completed
RID000043,DRV08204,CUS12714,SUV,Santacruz,Vile Parle,2026-05-13 16:00:22,2026-05-13 16:50:22,50,14.62,19,327.78,completed
RID000044,DRV05611,CUS28774,SUV,Malad,Juhu,2025-12-17 07:04:13,2025-12-17 07:59:13,55,14.41,19,323.79,cancelled
RID000045,DRV02923,CUS40815,SUV,Santacruz,Borivali,2025-06-29 23:14:31,2025-06-30 00:05:31,51,5.9,19,162.1,cancelled
RID000046,DRV04849,CUS35559,SUV,Juhu,Santacruz,2026-01-11 12:03:00,2026-01-11 13:32:00,89,4.67,19,138.73,completed
RID000047,DRV02391,CUS26634,SUV,Vile Parle,Mulund,2026-03-16 08:43:01,2026-03-16 09:10:01,27,17.53,19,383.07,completed
RID000048,DRV02784,CUS32179,SUV,Ghatkopar,Andheri,2026-01-01 18:26:21,2026-01-01 19:00:21,34,4.72,19,139.68,cancelled
RID000049,DRV08742,CUS14112,SUV,Ghatkopar,Malad,2025-12-25 07:25:57,2025-12-25 08:06:57,41,4.18,19,129.42,completed
RID000050,DRV07576,CUS18080,SUV,Mulund,Vile Parle,2026-03-14 00:03:16,2026-03-14 01:09:16,66,7.49,19,192.31,completed
RID000051,DRV04166,CUS17333,Sedan,Mulund,Bandra,2025-11-21 19:19:09,2025-11-21 20:11:09,52,4.51,15,117.65,completed
RID000052,DRV03975,CUS11417,SUV,Malad,Borivali,2025-12-07 16:16:32,2025-12-07 16:41:32,25,10.26,19,244.94,cancelled
RID000053,DRV01264,CUS44905,SUV,Juhu,Vile Parle,2026-01-31 18:06:01,2026-01-31 19:24:01,78,1.26,19,73.94,completed
RID000054,DRV09065,CUS41168,Sedan,Vile Parle,Santacruz,2026-04-24 05:59:03,2026-04-24 06:21:03,22,8.86,15,182.9,completed
RID000055,DRV03925,CUS13536,SUV,Santacruz,Vile Parle,2025-12-01 04:13:17,2025-12-01 05:43:17,90,1.39,19,76.41,completed
RID000056,DRV09464,CUS48843,SUV,Mulund,Vile Parle,2025-08-15 11:01:35,2025-08-15 11:36:35,35,24.46,19,514.74,completed
RID000057,DRV04167,CUS18213,SUV,Powai,Juhu,2025-10-07 08:37:46,2025-10-07 09:56:46,79,11.81,19,274.39,completed
RID000058,DRV03935,CUS02303,SUV,Andheri,Powai,2025-06-20 22:57:28,2025-06-21 00:21:28,84,26.52,19,553.88,cancelled
RID000059,DRV09537,CUS05227,SUV,Vile Parle,Powai,2025-10-14 17:35:55,2025-10-14 18:15:55,40,10.24,19,244.56,completed
RID000060,DRV04594,CUS13775,Sedan,Juhu,Mulund,2025-07-10 22:47:48,2025-07-10 23:35:48,48,16.12,15,291.8,completed
RID000061,DRV07754,CUS25024,Hatchback,Juhu,Borivali,2026-04-26 19:37:47,2026-04-26 20:03:47,26,11.63,11,177.93,completed
RID000062,DRV04606,CUS27414,SUV,Ghatkopar,Andheri,2026-03-03 19:36:25,2026-03-03 20:11:25,35,12.86,19,294.34,cancelled
RID000063,DRV06288,CUS21140,SUV,Dadar,Malad,2025-10-15 16:11:19,2025-10-15 17:35:19,84,10.48,19,249.12,completed
RID000064,DRV03230,CUS39599,Sedan,Borivali,Malad,2025-11-03 13:18:20,2025-11-03 13:50:20,32,26.86,15,452.9,completed
RID000065,DRV03815,CUS39237,Sedan,Mulund,Bandra,2025-12-18 14:40:27,2025-12-18 15:43:27,63,8.19,15,172.85,cancelled
RID000066,DRV02206,CUS06098,Sedan,Kurla,Bandra,2026-05-31 06:40:52,2026-05-31 07:48:52,68,14.95,15,274.25,completed
RID000067,DRV09338,CUS04728,Sedan,Bandra,Borivali,2025-11-25 15:44:41,2025-11-25 16:18:41,34,15.72,15,285.8,cancelled
RID000068,DRV05686,CUS10964,Sedan,Powai,Kurla,2026-03-31 13:12:48,2026-03-31 14:20:48,68,28.94,15,484.1,completed
RID000069,DRV02212,CUS07439,Hatchback,Ghatkopar,Juhu,2025-12-19 20:01:38,2025-12-19 21:30:38,89,22.11,11,293.21,completed
RID000070,DRV08875,CUS42809,Sedan,Malad,Vile Parle,2026-02-09 04:50:18,2026-02-09 05:42:18,52,23.94,15,409.1,cancelled
RID000071,DRV05562,CUS48787,SUV,Powai,Santacruz,2026-04-15 09:00:52,2026-04-15 10:10:52,70,19.51,19,420.69,completed
RID000072,DRV04733,CUS17481,Sedan,Santacruz,Powai,2025-11-19 08:36:06,2025-11-19 09:34:06,58,27.57,15,463.55,completed
RID000073,DRV00934,CUS15572,Sedan,Kurla,Ghatkopar,2025-09-12 19:43:34,2025-09-12 20:22:34,39,23.42,15,401.3,completed
RID000074,DRV08079,CUS41867,SUV,Dadar,Andheri,2026-02-02 10:02:08,2026-02-02 10:45:08,43,24.02,19,506.38,completed
RID000075,DRV07000,CUS01651,Hatchback,Kurla,Malad,2026-05-05 19:08:27,2026-05-05 19:36:27,28,3.12,11,84.32,completed
RID000076,DRV00227,CUS32234,SUV,Borivali,Dadar,2025-06-14 07:33:55,2025-06-14 07:56:55,23,6.11,19,166.09,completed
RID000077,DRV04236,CUS13995,SUV,Juhu,Powai,2026-05-27 19:50:20,2026-05-27 21:20:20,90,11.42,19,266.98,completed
RID000078,DRV09045,CUS11751,SUV,Juhu,Santacruz,2026-04-23 16:28:19,2026-04-23 17:55:19,87,12.27,19,283.13,completed
RID000079,DRV09739,CUS02952,SUV,Ghatkopar,Dadar,2026-05-26 06:10:45,2026-05-26 06:38:45,28,14.04,19,316.76,completed
RID000080,DRV03838,CUS39100,SUV,Dadar,Juhu,2025-11-19 04:04:35,2025-11-19 04:37:35,33,9.06,19,222.14,completed
RID000081,DRV05738,CUS28260,Sedan,Borivali,Vile Parle,2025-12-21 19:29:25,2025-12-21 20:40:25,71,21.69,15,375.35,completed
RID000082,DRV09236,CUS08958,Hatchback,Borivali,Santacruz,2025-11-03 06:36:01,2025-11-03 07:11:01,35,19.87,11,268.57,completed
RID000083,DRV09790,CUS00424,Sedan,Malad,Andheri,2026-03-26 09:03:27,2026-03-26 09:31:27,28,23.48,15,402.2,completed
RID000084,DRV03821,CUS45618,Hatchback,Powai,Santacruz,2026-03-25 05:16:35,2026-03-25 05:55:35,39,20.66,11,277.26,cancelled
RID000085,DRV01980,CUS28462,Sedan,Santacruz,Powai,2025-11-19 19:22:29,2025-11-19 19:56:29,34,9.54,15,193.1,cancelled
RID000086,DRV06491,CUS43074,SUV,Bandra,Vile Parle,2025-07-04 23:21:11,2025-07-05 00:48:11,87,11.07,19,260.33,completed
RID000087,DRV07830,CUS47965,SUV,Malad,Mulund,2025-11-28 03:23:17,2025-11-28 04:13:17,50,11.76,19,273.44,cancelled
RID000088,DRV04191,CUS49973,Sedan,Vile Parle,Andheri,2026-01-25 16:23:48,2026-01-25 17:49:48,86,17.25,15,308.75,completed
RID000089,DRV04678,CUS44610,SUV,Malad,Kurla,2025-06-28 14:38:38,2025-06-28 15:03:38,25,24.93,19,523.67,completed
RID000090,DRV05660,CUS34301,SUV,Bandra,Andheri,2026-01-25 12:22:54,2026-01-25 13:13:54,51,24.7,19,519.3,completed
RID000091,DRV07580,CUS32920,Hatchback,Juhu,Santacruz,2026-02-18 03:44:28,2026-02-18 04:45:28,61,28.15,11,359.65,completed
RID000092,DRV02846,CUS08004,Sedan,Malad,Andheri,2025-06-26 12:35:26,2025-06-26 13:54:26,79,11.86,15,227.9,completed
RID000093,DRV03165,CUS18820,SUV,Ghatkopar,Vile Parle,2025-10-16 18:12:15,2025-10-16 18:58:15,46,24.62,19,517.78,completed
RID000094,DRV08580,CUS32769,SUV,Mulund,Bandra,2025-09-03 03:38:21,2025-09-03 04:32:21,54,5.22,19,149.18,completed
RID000095,DRV03736,CUS33852,Hatchback,Bandra,Ghatkopar,2026-04-11 20:08:21,2026-04-11 21:03:21,55,3.35,11,86.85,completed
RID000096,DRV00990,CUS03910,SUV,Dadar,Borivali,2025-07-08 19:11:22,2025-07-08 20:27:22,76,29.48,19,610.12,cancelled
RID000097,DRV01008,CUS27199,Sedan,Malad,Vile Parle,2026-03-16 02:55:57,2026-03-16 04:13:57,78,26.59,15,448.85,cancelled
RID000098,DRV09827,CUS13410,SUV,Andheri,Kurla,2026-01-11 13:39:31,2026-01-11 15:08:31,89,18.86,19,408.34,completed
RID000099,DRV06305,CUS21563,Sedan,Santacruz,Kurla,2026-03-11 04:16:26,2026-03-11 04:55:26,39,12.71,15,240.65,completed
RID000100,DRV03182,CUS12142,Sedan,Juhu,Kurla,2026-01-24 20:09:18,2026-01-24 20:38:18,29,27.99,15,469.85,completed
RID000101,DRV06466,CUS35686,SUV,Kurla,Ghatkopar,2025-08-12 19:24:39,2025-08-12 19:51:39,27,12.66,19,290.54,completed
RID000102,DRV04674,CUS37152,SUV,Juhu,Borivali,2025-07-04 10:33:29,2025-07-04 10:54:29,21,1.34,19,75.46,completed
RID000103,DRV02383,CUS45988,SUV,Vile Parle,Borivali,2025-11-23 11:43:00,2025-11-23 12:40:00,57,29.87,19,617.53,cancelled
RID000104,DRV08454,CUS20582,Hatchback,Powai,Kurla,2026-04-05 10:11:46,2026-04-05 10:54:46,43,25.34,11,328.74,completed
RID000105,DRV06279,CUS12919,Sedan,Malad,Ghatkopar,2026-05-22 21:06:22,2026-05-22 22:24:22,78,11.37,15,220.55,completed
RID000106,DRV03915,CUS35761,Sedan,Juhu,Borivali,2025-09-24 02:13:33,2025-09-24 03:05:33,52,29.67,15,495.05,completed
RID000107,DRV09485,CUS25393,SUV,Powai,Vile Parle,2026-05-31 22:55:40,2026-05-31 23:26:40,31,28.41,19,589.79,completed
RID000108,DRV04730,CUS37842,Hatchback,Dadar,Andheri,2026-05-06 23:23:54,2026-05-07 00:28:54,65,7.07,11,127.77,completed
RID000109,DRV07415,CUS11821,SUV,Santacruz,Juhu,2025-12-05 05:50:37,2025-12-05 06:32:37,42,7.28,19,188.32,cancelled
RID000110,DRV04491,CUS17238,SUV,Ghatkopar,Powai,2026-03-04 07:28:58,2026-03-04 08:54:58,86,15.64,19,347.16,completed
RID000111,DRV01883,CUS49933,Sedan,Ghatkopar,Kurla,2026-01-09 22:08:59,2026-01-09 23:06:59,58,20.83,15,362.45,completed
RID000112,DRV09257,CUS33158,Sedan,Santacruz,Dadar,2025-08-08 15:24:18,2025-08-08 16:16:18,52,26.04,15,440.6,completed
RID000113,DRV09039,CUS04448,SUV,Vile Parle,Andheri,2025-10-11 16:13:00,2025-10-11 17:16:00,63,10.22,19,244.18,cancelled
RID000114,DRV09779,CUS28548,SUV,Juhu,Malad,2025-07-08 13:28:50,2025-07-08 14:54:50,86,17.73,19,386.87,cancelled
RID000115,DRV08895,CUS43207,SUV,Juhu,Vile Parle,2026-02-05 11:49:50,2026-02-05 12:20:50,31,22.0,19,468.0,cancelled
RID000116,DRV00483,CUS12933,Sedan,Borivali,Ghatkopar,2026-01-11 12:05:23,2026-01-11 13:29:23,84,24.65,15,419.75,completed
RID000117,DRV05426,CUS15897,Sedan,Santacruz,Kurla,2025-06-15 10:56:38,2025-06-15 11:24:38,28,3.81,15,107.15,completed
RID000118,DRV02191,CUS47493,SUV,Dadar,Andheri,2025-07-30 20:48:33,2025-07-30 21:45:33,57,15.49,19,344.31,completed
RID000119,DRV01472,CUS02039,Sedan,Kurla,Powai,2025-10-07 10:04:43,2025-10-07 11:17:43,73,17.37,15,310.55,completed
RID000120,DRV08165,CUS15597,Sedan,Vile Parle,Mulund,2026-05-16 03:33:23,2026-05-16 05:02:23,89,6.99,15,154.85,completed
RID000121,DRV05823,CUS08521,SUV,Malad,Kurla,2025-08-15 01:23:21,2025-08-15 02:31:21,68,19.97,19,429.43,cancelled
RID000122,DRV07276,CUS47119,SUV,Juhu,Santacruz,2026-02-22 06:43:27,2026-02-22 07:36:27,53,17.48,19,382.12,completed
RID000123,DRV09050,CUS39207,Hatchback,Mulund,Bandra,2026-01-26 05:27:02,2026-01-26 06:39:02,72,15.63,11,221.93,completed
RID000124,DRV08984,CUS06255,Sedan,Kurla,Juhu,2025-06-29 12:26:51,2025-06-29 12:46:51,20,27.92,15,468.8,completed
RID000125,DRV08665,CUS30213,SUV,Borivali,Santacruz,2026-03-17 14:09:44,2026-03-17 15:20:44,71,15.1,19,336.9,completed
RID000126,DRV05226,CUS10737,SUV,Ghatkopar,Mulund,2026-03-13 08:45:54,2026-03-13 10:02:54,77,6.26,19,168.94,completed
RID000127,DRV03840,CUS17508,Sedan,Andheri,Borivali,2026-02-22 13:35:39,2026-02-22 15:00:39,85,10.92,15,213.8,completed
RID000128,DRV03124,CUS09876,SUV,Bandra,Andheri,2025-07-19 11:06:11,2025-07-19 11:44:11,38,25.8,19,540.2,cancelled
RID000129,DRV05923,CUS33766,SUV,Andheri,Dadar,2025-07-14 08:47:44,2025-07-14 10:08:44,81,22.01,19,468.19,completed
RID000130,DRV02155,CUS00774,Hatchback,Andheri,Kurla,2025-07-09 06:25:27,2025-07-09 07:36:27,71,22.36,11,295.96,cancelled
RID000131,DRV04460,CUS06963,SUV,Borivali,Santacruz,2026-05-29 06:39:04,2026-05-29 07:57:04,78,9.51,19,230.69,completed
RID000132,DRV03071,CUS38778,Hatchback,Ghatkopar,Vile Parle,2025-12-03 23:49:45,2025-12-04 00:30:45,41,13.35,11,196.85,cancelled
RID000133,DRV09904,CUS00572,SUV,Bandra,Juhu,2026-01-22 01:03:38,2026-01-22 01:52:38,49,19.39,19,418.41,completed
RID000134,DRV01357,CUS09114,SUV,Ghatkopar,Vile Parle,2025-09-21 02:41:33,2025-09-21 03:58:33,77,22.87,19,484.53,completed
RID000135,DRV09439,CUS36577,Sedan,Andheri,Mulund,2026-03-27 19:36:32,2026-03-27 19:58:32,22,20.08,15,351.2,cancelled
RID000136,DRV07127,CUS22593,SUV,Powai,Vile Parle,2025-06-29 11:30:27,2025-06-29 12:49:27,79,27.49,19,572.31,completed
RID000137,DRV07060,CUS47776,Sedan,Santacruz,Vile Parle,2025-09-02 09:30:27,2025-09-02 10:51:27,81,28.17,15,472.55,completed
RID000138,DRV05075,CUS41308,SUV,Dadar,Malad,2026-04-03 16:41:29,2026-04-03 17:52:29,71,13.54,19,307.26,completed
RID000139,DRV00206,CUS07276,SUV,Powai,Bandra,2025-06-14 00:04:56,2025-06-14 00:58:56,54,18.28,19,397.32,completed
RID000140,DRV00936,CUS08359,SUV,Juhu,Vile Parle,2025-07-03 05:51:15,2025-07-03 06:48:15,57,3.32,19,113.08,completed
RID000141,DRV08696,CUS39871,SUV,Kurla,Ghatkopar,2026-05-17 17:17:49,2026-05-17 18:29:49,72,3.99,19,125.81,completed
RID000142,DRV08226,CUS06658,SUV,Ghatkopar,Malad,2025-08-26 16:14:29,2025-08-26 17:35:29,81,12.74,19,292.06,cancelled
RID000143,DRV07523,CUS12289,SUV,Vile Parle,Santacruz,2025-09-29 11:42:59,2025-09-29 12:10:59,28,19.21,19,414.99,completed
RID000144,DRV05127,CUS13873,Hatchback,Borivali,Dadar,2025-06-08 04:36:56,2025-06-08 05:05:56,29,1.51,11,66.61,completed
RID000145,DRV03220,CUS19301,SUV,Vile Parle,Kurla,2025-12-02 06:01:25,2025-12-02 07:29:25,88,7.74,19,197.06,completed
RID000146,DRV02941,CUS01581,SUV,Bandra,Borivali,2025-09-28 03:41:58,2025-09-28 04:03:58,22,24.33,19,512.27,cancelled
RID000147,DRV04811,CUS42234,Sedan,Dadar,Santacruz,2025-12-28 09:10:19,2025-12-28 09:58:19,48,17.33,15,309.95,completed
RID000148,DRV01345,CUS22890,SUV,Dadar,Santacruz,2025-07-08 16:01:01,2025-07-08 16:48:01,47,28.68,19,594.92,completed
RID000149,DRV05572,CUS19521,Hatchback,Juhu,Powai,2026-02-14 23:39:22,2026-02-15 00:10:22,31,8.62,11,144.82,cancelled
RID000150,DRV01771,CUS34315,Hatchback,Mulund,Andheri,2025-08-13 23:34:39,2025-08-14 00:29:39,55,25.88,11,334.68,completed
RID000151,DRV03843,CUS15919,Hatchback,Ghatkopar,Vile Parle,2025-06-11 10:46:44,2025-06-11 11:10:44,24,22.49,11,297.39,completed
RID000152,DRV05732,CUS30573,Hatchback,Dadar,Powai,2025-12-05 15:38:25,2025-12-05 16:55:25,77,8.73,11,146.03,completed
RID000153,DRV09997,CUS17288,SUV,Mulund,Borivali,2025-12-02 23:31:34,2025-12-03 00:28:34,57,23.47,19,495.93,completed
RID000154,DRV02743,CUS00165,Sedan,Powai,Vile Parle,2025-06-08 12:18:18,2025-06-08 12:47:18,29,20.2,15,353.0,completed
RID000155,DRV03670,CUS22301,Sedan,Santacruz,Andheri,2026-03-20 18:47:59,2026-03-20 19:30:59,43,27.79,15,466.85,completed
RID000156,DRV03288,CUS22628,SUV,Dadar,Juhu,2025-06-11 00:39:11,2025-06-11 01:01:11,22,14.21,19,319.99,completed
RID000157,DRV04886,CUS27243,Hatchback,Ghatkopar,Santacruz,2026-05-24 07:37:39,2026-05-24 08:08:39,31,4.63,11,100.93,completed
RID000158,DRV06156,CUS23181,Sedan,Mulund,Santacruz,2026-05-09 18:29:08,2026-05-09 19:41:08,72,11.01,15,215.15,completed
RID000159,DRV02668,CUS07680,SUV,Kurla,Juhu,2025-10-03 10:06:40,2025-10-03 11:35:40,89,16.29,19,359.51,completed
RID000160,DRV07031,CUS37781,SUV,Dadar,Malad,2025-10-12 03:01:44,2025-10-12 04:13:44,72,28.1,19,583.9,completed
RID000161,DRV03291,CUS18736,Sedan,Santacruz,Powai,2025-11-12 19:30:24,2025-11-12 20:33:24,63,7.95,15,169.25,completed
RID000162,DRV03012,CUS08457,Sedan,Vile Parle,Bandra,2025-11-22 10:13:40,2025-11-22 11:37:40,84,15.51,15,282.65,completed
RID000163,DRV04843,CUS42622,Hatchback,Mulund,Dadar,2025-08-10 06:24:47,2025-08-10 07:05:47,41,3.41,11,87.51,completed
RID000164,DRV09712,CUS45631,Sedan,Bandra,Malad,2025-08-20 18:41:08,2025-08-20 19:40:08,59,11.78,15,226.7,cancelled
RID000165,DRV09413,CUS07972,SUV,Andheri,Vile Parle,2026-04-18 02:44:37,2026-04-18 03:28:37,44,1.75,19,83.25,completed
RID000166,DRV02712,CUS26646,SUV,Ghatkopar,Vile Parle,2025-08-12 14:15:49,2025-08-12 15:12:49,57,21.02,19,449.38,completed
RID000167,DRV08604,CUS02043,Hatchback,Vile Parle,Borivali,2026-02-21 19:02:11,2026-02-21 20:12:11,70,24.81,11,322.91,cancelled
RID000168,DRV03942,CUS35494,Sedan,Kurla,Borivali,2026-01-14 21:23:49,2026-01-14 22:07:49,44,9.15,15,187.25,completed
RID000169,DRV00843,CUS25276,SUV,Santacruz,Mulund,2025-09-25 18:32:50,2025-09-25 19:30:50,58,19.01,19,411.19,completed
RID000170,DRV06342,CUS00886,SUV,Santacruz,Mulund,2026-04-13 13:31:18,2026-04-13 14:07:18,36,21.92,19,466.48,cancelled
RID000171,DRV07994,CUS37674,SUV,Kurla,Ghatkopar,2025-11-29 07:07:55,2025-11-29 08:34:55,87,19.73,19,424.87,cancelled
RID000172,DRV04219,CUS18887,Sedan,Juhu,Ghatkopar,2026-01-31 21:26:52,2026-01-31 22:03:52,37,23.43,15,401.45,cancelled
RID000173,DRV03810,CUS22490,Sedan,Mulund,Borivali,2026-02-16 13:47:10,2026-02-16 15:02:10,75,2.35,15,85.25,completed
RID000174,DRV03675,CUS01698,SUV,Juhu,Mulund,2026-02-07 20:56:47,2026-02-07 21:51:47,55,28.14,19,584.66,completed
RID000175,DRV01102,CUS40599,Sedan,Mulund,Vile Parle,2025-07-07 10:45:43,2025-07-07 11:43:43,58,13.93,15,258.95,completed
RID000176,DRV06188,CUS30723,Hatchback,Malad,Andheri,2025-06-22 13:52:38,2025-06-22 14:26:38,34,4.38,11,98.18,cancelled
RID000177,DRV04729,CUS45041,Sedan,Andheri,Ghatkopar,2025-11-28 06:25:31,2025-11-28 07:42:31,77,29.15,15,487.25,completed
RID000178,DRV09192,CUS05581,Sedan,Andheri,Kurla,2026-05-27 07:24:26,2026-05-27 08:10:26,46,19.23,15,338.45,completed
RID000179,DRV00151,CUS13080,SUV,Dadar,Vile Parle,2026-03-06 07:01:20,2026-03-06 07:40:20,39,24.3,19,511.7,completed
RID000180,DRV08077,CUS16857,Sedan,Bandra,Juhu,2025-12-15 03:40:56,2025-12-15 04:45:56,65,21.56,15,373.4,completed
RID000181,DRV06988,CUS16879,SUV,Andheri,Malad,2025-06-29 09:12:14,2025-06-29 09:33:14,21,28.67,19,594.73,completed
RID000182,DRV00779,CUS23673,Hatchback,Kurla,Powai,2026-03-10 06:23:44,2026-03-10 06:49:44,26,8.99,11,148.89,completed
RID000183,DRV05017,CUS30587,SUV,Santacruz,Juhu,2025-07-21 11:25:49,2025-07-21 11:47:49,22,15.13,19,337.47,completed
RID000184,DRV00535,CUS46770,SUV,Kurla,Andheri,2025-09-05 23:15:11,2025-09-06 00:37:11,82,7.45,19,191.55,completed
RID000185,DRV09546,CUS15403,Hatchback,Juhu,Kurla,2025-12-02 10:57:26,2025-12-02 12:05:26,68,17.03,11,237.33,cancelled
RID000186,DRV01277,CUS09454,Sedan,Borivali,Malad,2026-02-05 07:29:34,2026-02-05 07:49:34,20,10.57,15,208.55,completed
RID000187,DRV03395,CUS14552,Hatchback,Kurla,Andheri,2026-04-18 12:46:32,2026-04-18 14:07:32,81,21.32,11,284.52,completed
